id_obat,nama_obat,jenis_obat,harga
OB-170,Obat_170,Kapsul,203000
OB-171,Obat_171,Salep,134000
OB-172,Obat_172,Salep,32000
OB-173,Obat_173,Tablet,175000
OB-174,Obat_174,Sirup,79000
OB-175,Obat_175,Tablet,166000
OB-176,Obat_176,Salep,158000
OB-177,Obat_177,Tablet,75000
OB-178,Obat_178,Kapsul,208000
OB-179,Obat_179,Tablet,17000
OB-180,Obat_180,Sirup,236000
OB-181,Obat_181,Salep,150000
OB-182,Obat_182,Salep,194000
OB-183,Obat_183,Sirup,32000
OB-184,Obat_184,Kapsul,137000
OB-185,Obat_185,Tablet,230000
OB-186,Obat_186,Kapsul,55000
OB-187,Obat_187,Sirup,227000
OB-188,Obat_188,Kapsul,60000
OB-189,Obat_189,Tablet,235000
OB-190,Obat_190,Kapsul,94000
OB-191,Obat_191,Tablet,34000
OB-192,Obat_192,Salep,175000
OB-193,Obat_193,Sirup,51000
OB-194,Obat_194,Sirup,74000
OB-195,Obat_195,Salep,133000
OB-196,Obat_196,Tablet,177000
OB-197,Obat_197,Tablet,70000
OB-198,Obat_198,Tablet,66000
OB-199,Obat_199,Tablet,217000
OB-200,Obat_200,Salep,216000
